"scientific_name","hosts"
"Diplodia seriata","Abies concolor (Rocky Mountain white fir), Acer negundo (box elder), Acer rubrum (red maple), Acer saccharinum (silver maple), Aesculus pavia (red buckeye), Ailanthus altissima (tree-of-heaven), Albizia julibrissin (silk tree), Alhagi maurorum (camelthorn), Amorpha fruticosa (false indigo-bush), Araucaria araucana (monkey puzzle), Araucaria heterophylla (norfolk Island pine), Aronia arbutifolia (red chokeberry), Artemisia vulgaris (mugwort), Baccharis halimifolia (groundsel-bush), Betula nigra (river birch), Broussonetia papyrifera (paper mulberry), Callicarpa americana (American beautyberry), Camellia sinensis (tea), Campsis radicans (trumpetcreeper), Canna glauca, Canna indica (canna lilly), Carpinus caroliniana (American hornbeam), Carya cathayensis (Chinese hickory), Castanea dentata (American chestnut), Castanea sativa (chestnut), Ceanothus (white-thorn), Cedrus atlantica (Atlas cedar), Cedrus deodara (Himalayan cedar), Celtis laevigata (Sugarberry), Celtis occidentalis (hackberry), Cephalanthus occidentalis (common buttonbush), Cercis canadensis (eastern redbud), Chamaecyparis lawsoniana (Port Orford cedar), Chamaecyparis pisifera (sawara false cypress), Chamaecyparis thyoides (Atlantic white cedar), Citrus latifolia (tahiti lime), Citrus limon (lemon), Citrus nobilis (tangor), Citrus sinensis (sweet orange), Cocculus hirsutus, Cornus florida (Flowering dogwood), Corylus, Corylus americana (American hazel), Corylus avellana (hazel), Corylus cornuta (beaked hazel), Cotinus coggygria (fustet), Cotoneaster bullatus, Cotoneaster salicifolius (willowleaf cotoneaster), Crataegus monogyna (hawthorn), Cupressus macrocarpa (Monterey cypress), Cupressus sempervirens (Mediterranean cypress), Cydonia oblonga (quince), Dalbergia sissoo (shisham), Diospyros kaki (persimmon), Diospyros virginiana (persimmon (common)), Eriobotrya japonica (loquat), Eucalyptus globulus (Tasmanian blue gum), Ficus carica (common fig), Fraxinus (ashes), Fraxinus americana (white ash), Fraxinus angustifolia (narrow-leaved ash), Fraxinus excelsior (ash), Fraxinus ornus (flowering ash), Fraxinus pennsylvanica (downy ash), Gleditsia triacanthos (honey locust), Grevillea robusta (silky oak), Hedera helix (ivy), Humulus lupulus (hop), Ilex opaca (American holly), Juglans cinerea (butternut), Juglans hindsii (californian black walnut), Juglans nigra (black walnut), Juglans regia (walnut), Juniperus sabina (savin juniper), Juniperus virginiana (eastern redcedar), Lagerstroemia indica (Indian crape myrtle), Leucaena leucocephala (leucaena), Ligustrum vulgare (common privet), Liquidambar styraciflua (Sweet gum), Liriodendron tulipifera (tuliptree), Lonicera japonica (Japanese honeysuckle), Maclura pomifera (osage orange), Malus baccata (siberian crab apple), Malus coronaria (sweet crab-apple), Malus domestica (apple), Malus floribunda, Malus ioensis (prairie crab-apple), Malus prunifolia (plum-leaved crab apple), Malus pumila (paradise apple), Malus sylvestris (crab-apple tree), Melia azedarach (Chinaberry), Mespilus germanica (medlar), Morus (mulberrytree), Morus alba (mora), Morus nigra (black mulberry), Myrica cerifera (Southern waxmyrtle), Nannorrhops ritchieana, Nerium oleander (oleander), Oenothera biennis (common evening primrose), Olea europaea, Olea europaea subsp. europaea (European olive), Ostrya virginiana (American hophornbeam), Oxydendrum arboreum (Sourwood), Parthenocissus quinquefolia (Virginia creeper), Paulownia tomentosa (paulownia), Pelargonium graveolens (Rose geranium), Persea americana (avocado), Picea glauca (white spruce), Pinus nigra (black pine), Pinus patula (Mexican weeping pine), Pinus pinea, Pinus radiata (radiata pine), Pinus strobus (eastern white pine), Pinus virginiana (scrub pine), Pistacia chinensis (chinese pistachio), Pistacia lentiscus (mastic tree), Pistacia vera (pistachio), Platanus occidentalis (sycamore), Populus alba (silver-leaf poplar), Populus deltoides (poplar), Populus nigra (black poplar), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus cerasus (sour cherry), Prunus domestica (plum), Prunus dulcis (almond), Prunus laurocerasus (cherry laurel), Prunus munsoniana (wild goose plum), Prunus persica (peach), Prunus salicina (Japanese plum), Prunus serotina (black cherry), Prunus spinosa (blackthorn), Prunus triloba (Rose tree of China), Prunus virginiana (common chokecherrytree), Psidium guajava (guava), Ptelea trifoliata (Hoptree), Punica granatum (pomegranate), Pyrus communis (European pear), Pyrus pyrifolia (Oriental pear tree), Quercus coccifera (kermes oak), Quercus ilex (holm oak), Quercus macrocarpa (mossy-cup oak), Quercus nigra (water oak), Quercus robur (common oak), Quercus rubra (northern red oak), Quercus suber (cork oak), Quercus velutina (black oak), Quercus virginiana (Live oak), Rhamnus caroliniana (Carolina buckthorn), Rhododendron japonicum (Japanese azalea), Rhododendron maximum (Rosebay rhododendron), Rhus copallina (Shining sumac), Rhus glabra (smooth sumac), Rhus typhina (staghorn sumac), Ribes aureum (golden currant), Ribes rubrum (red currant), Ricinus communis (castor bean), Robinia pseudoacacia (black locust), Rosa canina (Dog rose), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Rubus ursinus (boysenberry), Rumex crispus (curled dock), Rumex obtusifolius (broad-leaved dock), Ruta graveolens (common rue), Salix alba (white willow), Salix babylonica (weeping willow), Salix caprea (pussy willow), Salix nigra (black willow), Sambucus canadensis (American black elderberry), Sassafras albidum (common sassafras), Simmondsia chinensis (jojoba), Sorbus americana (American mountainash), Sorbus aria (whitebeam), Sorbus aucuparia (mountain ash), Styphnolobium japonicum (pagoda tree), Syringa vulgaris (lilac), Syzygium cumini (black plum), Tectona grandis (teak), Thuja occidentalis (Eastern white cedar), Thuja plicata (western redcedar), Tilia americana (basswood), Ulmus americana (American elm), Ulmus rubra (slippery elm), Ulmus thomasii (rock elm), Vaccinium arboreum (Tree huckleberry), Vaccinium corymbosum (blueberry), Vinca minor (common periwinkle), Vitis labrusca (fox grape), Vitis rotundifolia (Muscadine grape), Vitis vinifera (grapevine), Yucca glauca (great plains yucca), Zelkova carpinifolia (caucasian elm)"
"Limacus flavus","Fragaria ananassa (strawberry)"
"Ulex europaeus","Pinus (pines), Pinus radiata (radiata pine)"
"Grapevine flavescence doree phytoplasma","Alnus glutinosa, Clematis vitalba, Vitis (grape), Vitis vinifera (grapevine)"
"Cernuella virgata","Achillea millefolium, Achillea millefolium, Arctium lappa, Brassica napus var. oleifera (oilseed rape), Carduus, Centaurea nigra, Conium maculatum, Hordeum vulgare (barley), Limonium vulgare, Medicago sativa (lucerne), Onobrychis viciifolia (common sainfoin), Onopordum acanthium, Phaseolus (beans), Pisum sativum (pea), Pittosporum, Plantago coronopus, Plantago lanceolata, Plantago major, Scallions (green onions), Senecio jacobaea, Smyrnium olusatrum, Taraxacum officinale, Trifolium (clover), Triticum aestivum (wheat), Viburnum"
"Arthraxon hispidus","Camellia sinensis (tea), Oryza sativa (rice)"
"Argyrotaenia ljungiana","Abies (firs), Abies nordmanniana (Nordmann fir), Acer (maples), Achillea clavennae, Achillea pannonica, Alnus alnobetula (green alder), Ampelopsis, Anethum graveolens (dill), Artemisia campestris, Artemisia vulgaris (mugwort), Aster, Athamanta cretensis, Betula (birches), Boehmeria nivea (ramie), Calluna vulgaris (heather), Camellia sinensis (tea), Carum carvi (caraway), Cedrus deodara (Himalayan cedar), Centaurea (Knapweed), Chrysanthemum (daisy), Citrus, Clinopodium vulgare, Colutea arborescens (bladder senna), Crataegus (hawthorns), Cunninghamia, Cydonia oblonga (quince), Dryas octopetala, Epilobium angustifolium (rosebay willowherb), Erica (heaths), Erica tetralix, Erigeron acer, Euonymus (spindle trees), Foeniculum vulgare (fennel), Fragaria ananassa (strawberry), Frangula alnus (alder buckthorn), Genista (broom), Gentiana asclepiadea (swallowwort gentian), Gentiana pneumonanthe, Helichrysum, Hibiscus cannabinus (kenaf), Humulus lupulus (hop), Larix (larches), Lavandula angustifolia (lavender), Lotus corniculatus (bird's-foot trefoil), Lotus pedunculatus, Malus domestica (apple), Malus sylvestris (crab-apple tree), Melissa officinalis (Lemon balm), Morus (mulberrytree), Myrica gale (waxberry), Parthenocissus, Phaseolus (beans), Picea (spruces), Pimpinella saxifraga, Pinus (pines), Populus (poplars), Populus alba (silver-leaf poplar), Potentilla (Cinquefoil), Prunus (stone fruit), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus domestica (plum), Prunus padus (bird cherry), Prunus persica (peach), Pyracantha (Firethorn) (green alder), Pyrus communis (European pear), Quercus (oaks), Ranunculus (Buttercup), Rhamnus (Buckthorn), Rubus caesius (dewberry), Salvia pratensis, Senecio (Groundsel), Senecio erucifolius, Solidago (Goldenrod), Tanacetum vulgare (tansy), Trifolium (clovers), Vaccinium (blueberries), Vaccinium myrtillus (blueberry), Vaccinium uliginosum (bog whortleberry), Vaccinium vitis-idaea (cowberry), Vitis labrusca (fox grape), Vitis vinifera (grapevine), Zea mays (maize)"
"Xylotrechus pantherinus","Salix (willows), Salix caprea (pussy willow)"
"Curculio elephas","Castanea sativa (chestnut), Quercus coccifera (kermes oak), Quercus faginea (Lusitanian oak), Quercus humilis, Quercus ilex (holm oak), Quercus pyrenaica (black oak), Quercus robur (common oak), Quercus rotundifolia, Quercus suber (cork oak)"
"Mimosa diplotricha","Ananas comosus (pineapple), Areca catechu (betelnut palm), Camellia sinensis (tea), Citrus, Cocos nucifera (coconut), Coffea arabica (arabica coffee), Glycine max (soyabean), Hevea brasiliensis (rubber), Litchi chinensis (lichi), Malus (ornamental species apple), Manihot esculenta (cassava), Musa (banana), Musa textilis (manila hemp), Nicotiana tabacum (tobacco), Oryza sativa (rice), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Zea mays (maize)"
"Chrysodeixis chalcites","Aeschynanthus, Anethum graveolens (dill), Arachis hypogaea (groundnut), Aster, Brassica, Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. capitata (cabbage), Brassicaceae (cruciferous crops), Cajanus cajan (pigeon pea), Capsicum annuum (bell pepper), Chrysanthemum (daisy), Chrysanthemum indicum (chrysanthemum), Citrus, Cucumis sativus (cucumber), Cynara cardunculus var. scolymus (globe artichoke), Dahlia, Dianthus (carnation), Echium vulgare ((common) viper's-bugloss), Ficus benjamina (weeping fig), Ficus carica (common fig), Ficus elastica (rubber plant), Fragaria (strawberry), Geranium (cranesbill), Glycine max (soyabean), Gossypium herbaceum (short staple cotton), Helianthus tuberosus (Jerusalem artichoke), Hippeastrum hybrids (amaryllis), Lactuca sativa (lettuce), Lycopersicon pennellii, Marrubium (horehound), Medicago sativa (lucerne), Musa (banana), Musa acuminata (wild banana), Nicotiana tabacum (tobacco), Onopordum acanthium (scotch thistle), Pelargonium (pelargoniums), Phaseolus (beans), Phaseolus vulgaris (common bean), Salvia officinalis (common sage), Solanum (nightshade), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Spinacia oleracea (spinach), Stachytarpheta jamaicensis (Jamaica vervain), Teucrium scorodonia (wood germander), Tradescantia zebrina (wandering jew), Trifolium repens (white clover), Triticum aestivum (wheat), Urtica dioica (stinging nettle), Zea mays (maize)"
"Autographa gamma","Abutilon theophrasti (velvet leaf), Achillea millefolium (yarrow), Allium cepa (onion), Allium porrum (leek), Amaranthus retroflexus (redroot pigweed), Athyrium alpestre, Beta vulgaris (beetroot), Beta vulgaris var. saccharifera (sugarbeet), Borago officinalis (Borage), Brassica, Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. capitata (cabbage), Brassica oleracea var. gemmifera (Brussels sprouts), Brassica oleracea var. gongylodes (kohlrabi), Brassica oleracea var. italica (broccoli), Brassica oleracea var. viridis (collards), Brassica rapa subsp. chinensis (Chinese cabbage), Brassica rapa subsp. pekinensis, Cannabis sativa (hemp), Capsicum (peppers), Capsicum annuum (bell pepper), Chrysanthemum indicum (chrysanthemum), Cicer arietinum (chickpea), Cichorium intybus (chicory), Cirsium arvense (creeping thistle), Cynara cardunculus var. scolymus (globe artichoke), Daucus carota (carrot), Eruca vesicaria (purple-vein rocket), Fragaria (strawberry), Glycine max (soyabean), Gossypium (cotton), Helianthus annuus (sunflower), Humulus (hop), Hyssopus officinalis (Hyssop), Lactuca sativa (lettuce), Linum usitatissimum (flax), Matricaria perforata (false chamomile), Medicago sativa (lucerne), Nicotiana tabacum (tobacco), Ornithopus sativus (Bird's foot), Pastinaca sativa (parsnip), Pelargonium zonale hybrids, Petroselinum crispum (parsley), Phaseolus vulgaris (common bean), Pisum sativum (pea), Raphanus sativus (radish), Rheum rhaponticum, Sambucus nigra (elder), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Solidago altissima (tall goldenrod), Spinacia oleracea (spinach), Taraxacum officinale, Trifolium incarnatum (Crimson clover), Trifolium pratense (red clover), Triticum aestivum (wheat), Urtica dioica (stinging nettle), Vigna unguiculata (cowpea), Vitis vinifera (grapevine), Zea mays (maize), Zinnia elegans (zinnia)"
"Drosophila suzukii","Acca sellowiana, Actinidia, Actinidia arguta (tara vine), Actinidia chinensis (Chinese gooseberry), Amelanchier lamarckii (snowy mespilus), Amelanchier ovalis (juneberry), Ampelopsis, Ampelopsis brevipedunculata (Amur amelopsis), Arbutus unedo (arbutus), Arum italicum (Italian arum), Aucuba japonica (Japanese aucuba), Basella alba (malabar spinach), Citrus sinensis (sweet orange), Cornus (Dogwood), Cornus alba (red-barked dogwood), Cornus canadensis (creeping dogwood), Cornus controversa (giant dogwood), Cornus kousa (Kousa dogwood), Cornus mas (cornelian cherry), Cornus sanguinea (dogwood), Cotoneaster coriaceus, Cotoneaster franchetii (orange cotoneaster), Cotoneaster rehderi, Crataegus chrysocarpa, Crataegus monogyna (hawthorn), Daphne mezereum (mezereon), Diospyros kaki (persimmon), Diospyros virginiana (persimmon (common)), Duchesnea indica (India mockstrawberry), Elaeagnus multiflora (cherry silverberry), Elaeagnus umbellata (autumn olive), Eriobotrya japonica (loquat), Eugenia uniflora (Surinam cherry), Festuca arundinacea (tall fescue), Ficus, Ficus carica (common fig), Fragaria (strawberry), Fragaria ananassa (strawberry), Fragaria vesca (wild strawberry), Frangula alnus (alder buckthorn), Gaultheria adenothrix, Hippophae rhamnoides (sea buckthorn), Ilex mucronata, Lindera benzoin (spicebush), Lonicera (honeysuckles), Lonicera alpigena, Lonicera caerulea, Lonicera caprifolium, Lonicera ferdinandii, Lonicera japonica (Japanese honeysuckle), Lonicera nigra, Lonicera nitida, Lonicera xylosteum (Fly honeysuckle), Lycium barbarum (Matrimonyvine), Mahonia (holly grape), Mahonia aquifolium (Oregongrape), Malpighia emarginata, Malus baccata (siberian crab apple), Malus domestica (apple), Morus (mulberrytree), Morus alba (mora), Morus bombycis (Japanese mulberry), Morus rubra (red mulberrytree), Murraya paniculata (orange jessamine), Myrica rubra, Paris quadrifolia, Parthenocissus quinquefolia (Virginia creeper), Photinia beauverdiana, Photinia prunifolia, Photinia villosa, Phytolacca acinosa (Indian pokeweed), Phytolacca americana (pokeweed), Polygonatum multiflorum, Prunus (stone fruit), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus cerasifera (myrobalan plum), Prunus cerasus (sour cherry), Prunus domestica (plum), Prunus japonica (Japanese bush cherry tree), Prunus laurocerasus (cherry laurel), Prunus lusitanica, Prunus mahaleb (mahaleb cherry), Prunus mume (Japanese apricot tree), Prunus nipponica, Prunus padus (bird cherry), Prunus persica (peach), Prunus persica var. nucipersica (nectarine), Prunus sargentii (sargent's cherry), Prunus serotina (black cherry), Prunus spinosa (blackthorn), Psidium guajava (guava), Pyracantha (Firethorn), Pyrus communis (European pear), Rhamnus cathartica (buckthorn), Ribes (currants), Ribes rubrum (red currant), Rosa acicularis (Prickly rose), Rosa canina (Dog rose), Rosa glauca (red-leaved rose), Rosa pimpinellifolia (Burnet rose), Rosa rugosa (rugosa rose), Rubus (blackberry, raspberry), Rubus armeniacus (Himalayan blackberry), Rubus caesius (dewberry), Rubus fruticosus (blackberry), Rubus hirsutus, Rubus idaeus (raspberry), Rubus laciniatus (cutleaf blackberry), Rubus loganobaccus (loganberry), Rubus phoenicolasius, Rubus saxatilis, Rubus spectabilis (salmonberry), Rubus triphyllus, Rubus ursinus (boysenberry), Sambucus ebulus, Sambucus nigra (elder), Sambucus racemosa (red-berried elder), Solanum americanum, Solanum dulcamara (bittersweet nightshade), Solanum luteum, Sorbus aria (whitebeam), Sorbus aucuparia (mountain ash), Symphoricarpos albus (common snowberry), Tamus communis, Taxus baccata (English yew), Triticum aestivum (wheat), Vaccinium (blueberries), Vaccinium angustifolium (Lowbush blueberry), Vaccinium corymbosum (blueberry), Vaccinium myrtilloides, Vaccinium myrtillus (blueberry), Vaccinium oldhamii, Vaccinium vitis-idaea (cowberry), Viburnum lantana (Wayfaring tree), Viburnum rhytidophyllum, Viscum album (mistletoe), Vitis (grape), Vitis labrusca (fox grape), Vitis vinifera (grapevine)"
"Sirococcus clavigignenti-juglandacearum","Carya cordiformis (bitternut hickory), Carya illinoinensis (pecan), Carya ovata (shagbark hickory), Castanea dentata (American chestnut), Castanea mollissima (hairy chestnut), Corylus americana (American hazel), Corylus cornuta (beaked hazel), Juglans (walnuts), Juglans ailantifolia var. cordiformis, Juglans cinerea (butternut), Juglans nigra (black walnut), Juglans regia (walnut), Prunus serotina (black cherry), Quercus alba (white oak), Quercus macrocarpa (mossy-cup oak), Quercus rubra (northern red oak), Quercus velutina (black oak)"
"Schinus terebinthifolius","Citrus sinensis (sweet orange)"
"Ceratitis rosa","Acca sellowiana, Allophylus pervillei, Angylocalyx braunii, Annona cherimola (cherimoya), Annona muricata (soursop), Annona senegalensis (wild custard apple), Calycosiphonia spathicalyx, Chrysanthus obliquinervis, Dictyophleba lucida, Diospyros kabuyeana, Dovyalis hebecarpa, Dovyalis longispina, Drypetes natalensis var. leiogyna, Drypetes natalensis var. natalensis, Eriobotrya japonica (loquat), Lettowianthus stellatus, Ludia mauritiana, Malpighia emarginata, Mimusops obtusifolia, Monanthotaxis fornicata, Monodora grandidieri, Prunus persica (peach), Psidium cattleianum, Psidium friedrichsthalianum, Psidium guajava (guava), Psidium japonicum, Salacia elegans, Sphaerocoryne gracilis, Synsepalum brevipes, Synsepalum subvertillatum, Syzygium cordatum, Syzygium jambos (rose apple), Toddalia asiatica, Tricalysia pallens, Uvaria acuminata, Vangueria infausta (African medlar), Xylotheca kraussiana"
"Sugarcane streak mosaic virus","Panicum miliaceum, Ranunculus japonicus, Saccharum, Saccharum officinarum (sugarcane), Sorghum drummondii, Sorghum halepense"
"Lobesia botrana","Actinidia chinensis (Chinese gooseberry), Arbutus unedo (arbutus), Berberis vulgaris (European barberry), Clematis vitalba (old man's beard), Cornus mas (cornelian cherry), Cornus sanguinea (dogwood), Daphne gnidium, Daphne laureola, Dianthus (carnation), Diospyros kaki (persimmon), Drimia maritima, Hedera helix (ivy), Ligustrum vulgare (common privet), Lonicera tatarica (Tatarian honeysuckle), Menispermum canadense (common moonseed), Olea europaea, Olea europaea subsp. europaea (European olive), Parthenocissus quinquefolia (Virginia creeper), Prunus amygdalus, Prunus avium (sweet cherry), Prunus domestica (plum), Prunus salicina (Japanese plum), Prunus spinosa (blackthorn), Punica granatum (pomegranate), Ribes (currants), Ribes nigrum (blackcurrant), Ribes rubrum (red currant), Ribes uva-crispa (gooseberry), Rosmarinus officinalis (rosemary), Rubus caesius (dewberry), Rubus fruticosus (blackberry), Syringa vulgaris (lilac), Tanacetum vulgare (tansy), Thymelaea hirsuta, Viburnum lantana (Wayfaring tree), Vitis (grape), Vitis vinifera (grapevine), Ziziphus jujuba (common jujube)"
"Xylosandrus compactus","Acacia auriculiformis (northern black wattle), Acacia mangium (brown salwood), Acer pseudoplatanus (sycamore), Annona, Annona muricata (soursop), Annona squamosa (sugar apple), Aucoumea klaineana (okoume), Caesalpinia kavaiensis, Camellia sinensis (tea), Castanea (chestnuts), Cedrela odorata (Spanish cedar), Ceratonia siliqua (carob), Cinnamomum verum (cinnamon), Coffea arabica (arabica coffee), Coffea canephora (robusta coffee), Colubrina oppositifolia, Cornus florida (Flowering dogwood), Dalbergia (rosewoods), Dendrobium, Entandrophragma utile (ogipogo-mahogany), Erythrina abyssinica (red hot poker tree), Eusideroxylon zwageri (billian), Ficus carica (common fig), Hevea brasiliensis (rubber), Khaya grandifoliola (big-leaf mahogany), Khaya ivorensis (African mahogany), Khaya senegalensis (dry zone mahogany), Laurus nobilis (sweet bay), Leucaena leucocephala (leucaena), Liquidambar styraciflua (Sweet gum), Macadamia integrifolia (macadamia nut), Magnolia grandiflora (Southern magnolia), Mangifera indica (mango), Melia azedarach (Chinaberry), Myrciaria dubia, Ochroma pyramidale (balsa), Olea europaea, Persea americana (avocado), Pinus (pines), Pistacia lentiscus (mastic tree), Pometia pinnata (fijian longan), Punica granatum (pomegranate), Quercus ilex (holm oak), Quercus robur (common oak), Ruscus aculeatus (Butcher's-broom), Shorea, Swertia, Swietenia macrophylla (big leaved mahogany), Swietenia mahagoni (Cuban mahogany), Theobroma cacao (cocoa), Toona ciliata (toon), Viburnum tinus"
